fault_id,source_name,fault_no,event_date,trip_datetime,event_date_key,trip_time_key,location_primary,locations_all,apparatus_concat,comments_concat,text_corpus,system_type,substation_area,weather,reporter,voltage_level_kv,voltage_levels_all,row_count,unique_apparatus_count,max_downtime_hours,mean_downtime_hours,min_reclose_delay_hours,max_reclose_delay_hours,any_reclosed_clock,any_reclosed_arc,has_comments,mixed_operational_labels,row_operational_labels,stage1_operational_label,stage1_binary_label,is_chrono_anomaly,anomaly_reason,event_hour,event_weekday,event_month,season,mentions_overcurrent,mentions_earth_fault,mentions_phase,mentions_three_phase,mentions_buchholz,mentions_diff,mentions_voltage_issue,mentions_trip_failure
system::117/23::2022-04-18::03:26,system,117/23,2022-04-18,2022-04-18 03:26:00,2022-04-18,03:26,Kanye,Kanye,Kanye 132/11 kV Transformer 1: LV CB 1HO || Kanye 132/11 kV Transformer 2: LV CB 2H0,Trip was due to a through fault from feeder 4L5.,trip was due to a through fault from feeder 4l5. kanye 132/11 kv transformer 1: lv cb 1ho || kanye 132/11 kv transformer 2: lv cb 2h0,Distribution,South,clear,baoki,11.0,11,2,2,1.27,1.27,2.2666666666666666,2.2666666666666666,True,False,True,False,permanent,permanent,Permanent,True,fault_id_date_anomaly,3,0,4,autumn,0,0,0,0,0,0,0,0
system::118/23::2022-04-18::07:35,system,118/23,2022-04-18,2022-04-18 07:35:00,2022-04-18,07:35,Kanye,Kanye,Kanye 132/11 kV Transformer 1: LV CB 1HO || Kanye 132/11 kV Transformer 2: LV CB 2H0,Trip was due to a through fault from feeder 4L5. Further patrolling carried out.,trip was due to a through fault from feeder 4l5. further patrolling carried out. kanye 132/11 kv transformer 1: lv cb 1ho || kanye 132/11 kv transformer 2: lv cb 2h0,Distribution,South,clear,baoki,11.0,11,2,2,0.73,0.73,0.7333333333333333,0.7333333333333333,True,False,True,False,permanent,permanent,Permanent,True,fault_id_date_anomaly,7,0,4,autumn,0,0,0,0,0,0,0,0
system::120/23::2022-04-22::09:17,system,120/23,2022-04-22,2022-04-22 09:17:00,2022-04-22,09:17,Letlhakane,Letlhakane || Karowe,Letlhakane 220/132kV TRF 4 LV CB 480 || HV CB H40 || Karowe -Letlhakane132kV line CB 105,Letlhakane 220/132kV TRF 4 and Karowe 132kV income line CB 105 tripped while Contractor was injecting a signal after simulating a Blue phase fault trip.,letlhakane 220/132kv trf 4 and karowe 132kv income line cb 105 tripped while contractor was injecting a signal after simulating a blue phase fault trip. letlhakane 220/132kv trf 4 lv cb 480 || hv cb h40 || karowe -letlhakane132kv line cb 105,Transmission,North/West,clear,scada,132.0,132,3,3,0.47,0.47,0.4666666666666667,0.4666666666666667,True,False,True,False,sustained,sustained,Non-permanent,True,out_of_expected_range,9,4,4,autumn,0,0,1,0,0,0,0,0
system::002/23::2023-01-02::03:28,system,002/23,2023-01-02,2023-01-02 03:28:00,2023-01-02,03:28,Thamaga,Thamaga,Thamaga - Rakola 220 line CB L45,"Distance protection trip, line DIFF protection trip Wɸ operated","distance protection trip, line diff protection trip wɸ operated thamaga - rakola 220 line cb l45",Transmission,South,clear,scada,220.0,220,1,1,0.0,0.0,,,False,True,True,False,transient,transient,Non-permanent,False,,3,0,1,summer,0,0,0,0,0,1,0,0
system::003/23::2023-01-05::19:30,system,003/23,2023-01-05,2023-01-05 19:30:00,2023-01-05,19:30,Fancistown,Fancistown,Francistown - Dukwe 132 Line CB 205,Load loss to Sowa Mine,load loss to sowa mine francistown - dukwe 132 line cb 205,Transmission,North,rainy/stormy,garebatho,132.0,132,1,1,0.95,0.95,0.95,0.95,True,False,True,False,permanent,permanent,Permanent,False,,19,3,1,summer,0,0,0,0,0,0,0,0
system::004/23::2023-01-06::08:09,system,004/23,2023-01-06,2023-01-06 08:09:00,2023-01-06,08:09,Jwaneng,Jwaneng,Jwaneng 132/33 T8: LV CB 8HO,Bus zone trip,bus zone trip jwaneng 132/33 t8: lv cb 8ho,Distribution,South,clear,mosarwe,33.0,33,1,1,0.7,0.7,0.7,0.7,True,False,True,False,permanent,permanent,Permanent,False,,8,4,1,summer,0,0,0,0,0,0,0,0
system::005/23::2023-01-06::15:26,system,005/23,2023-01-06,2023-01-06 15:26:00,2023-01-06,15:26,Orapa,Orapa,Orapa1 220/33 Transformer 1: HV CB H10,"Diff, HV Stdby E/F & HV (IDMT) O/C protn","diff, hv stdby e/f & hv (idmt) o/c protn orapa1 220/33 transformer 1: hv cb h10",Transmission,North,rainy/stormy,scada,220.0,220,1,1,1.067,1.067,3.7666666666666666,3.7666666666666666,True,False,True,False,permanent,permanent,Permanent,False,,15,4,1,summer,1,1,0,0,0,1,0,0
system::005/23::2023-01-06::15:33,system,005/23,2023-01-06,2023-01-06 15:33:00,2023-01-06,15:33,Orapa,Orapa,Orapa1 220/33 Transformer 2: LV CB H10,"LV O/C trip, Winding Temp Trip & Oil Temp Alarm","lv o/c trip, winding temp trip & oil temp alarm orapa1 220/33 transformer 2: lv cb h10",Distribution,North,rainy/stormy,theophilus,33.0,33,1,1,0.95,0.95,0.95,0.95,True,False,True,False,permanent,permanent,Permanent,False,,15,4,1,summer,1,0,0,0,1,0,0,0
system::006/23::2023-01-06::19:37,system,006/23,2023-01-06,2023-01-06 19:37:00,2023-01-06,19:37,Legotlhwane,Legotlhwane,Legotlhwane - Makoba 132 line CB 305,3-phase trip + ARC indication,3-phase trip + arc indication legotlhwane - makoba 132 line cb 305,Transmission,North/South,rainy/stormy,scada,132.0,132,1,1,0.0,0.0,,,False,True,True,False,transient,transient,Non-permanent,False,,19,4,1,summer,0,0,1,0,0,0,0,0
system::007/23::2023-01-07::11:35,system,007/23,2023-01-07,2023-01-07 11:35:00,2023-01-07,11:35,Sua Pan,Sua Pan,Sua Pan 132/11 CBs 3L5 & 4L5,"Overcurrent protection, smoke on 11 busbar, Botash not importing","overcurrent protection, smoke on 11 busbar, botash not importing sua pan 132/11 cbs 3l5 & 4l5",Distribution,North,clear,scada,11.0,11,1,1,8.35,8.35,8.35,8.35,True,False,True,False,permanent,permanent,Permanent,False,,11,5,1,summer,1,0,0,0,0,0,0,0
