feature,importance_mean,importance_std
max_downtime_hours,0.1327476950634845,0.04596789270473485
mean_downtime_hours,0.1327476950634845,0.04596789270473485
max_reclose_delay_hours,0.1327476950634845,0.04596789270473485
min_reclose_delay_hours,0.12891703733808993,0.0469157840323357
event_hour,0.0,0.0
event_weekday,0.0,0.0
weather,0.0,0.0
substation_area,0.0,0.0
mentions_trip_failure,0.0,0.0
mentions_voltage_issue,0.0,0.0
mentions_diff,0.0,0.0
mentions_buchholz,0.0,0.0
mentions_three_phase,0.0,0.0
mentions_phase,0.0,0.0
has_comments,0.0,0.0
mentions_overcurrent,0.0,0.0
location_primary,0.0,0.0
any_reclosed_arc,0.0,0.0
any_reclosed_clock,0.0,0.0
voltage_level_kv,0.0,0.0
unique_apparatus_count,0.0,0.0
row_count,0.0,0.0
season,0.0,0.0
reporter,-0.009300075585789856,0.021309150170346396
comments_concat,-0.023250188964474637,0.028475549693125633
mentions_earth_fault,-0.03720030234315942,0.027900226757369567
apparatus_concat,-0.04417535903250181,0.024824408694821054
event_month,-0.05347543461829167,0.015769045372708457
